pid,title,tranform,other Element to Look For,HighLevelCollectionName
tufts:12451,Seated Buddha.,ArtBatchTransform: 2014-12-16T08:05:33.7-05:00,displaysIn:Trove,Trove
tufts:12449,Group of Vietnamese Ceramics from the Hoi An Hoard.,ArtBatchTransform: 2014-12-16T08:05:33.7-05:00,displaysIn:Trove,Trove
tufts:12442,Jahangir and Prince Khurram Feasted By Nur Jahan.,ArtBatchTransform: 2014-12-16T08:05:33.7-05:00,displaysIn:Trove,Trove
tufts:12446,Gateway of India.,ArtBatchTransform: 2014-12-16T08:05:33.7-05:00,displaysIn:Trove,Trove
tufts:12436,Taj Mahal.,ArtBatchTransform: 2014-12-16T08:05:33.7-05:00,displaysIn:Trove,Trove
tufts:12435,Diwan-I-Khas (Private Audience Hall).,ArtBatchTransform: 2014-12-16T08:05:33.7-05:00,displaysIn:Trove,Trove
tufts:12440,Akbar Inspecting the Construction of Fatehpur Sikri.,ArtBatchTransform: 2014-12-16T08:05:33.7-05:00,displaysIn:Trove,Trove
tufts:12443,"Taj Mahal\, Detail of Blind Arcade.",ArtBatchTransform: 2014-12-16T08:05:33.7-05:00,displaysIn:Trove,Trove
tufts:12444,Krishna and the Gopis.,ArtBatchTransform: 2014-12-16T08:05:33.7-05:00,displaysIn:Trove,Trove
tufts:12441,Outer Gopura of the Minakshi-Sundareshvara Temple.,ArtBatchTransform: 2014-12-16T08:05:33.7-05:00,displaysIn:Trove,Trove
tufts:12448,Victoria Terminus.,ArtBatchTransform: 2014-12-16T08:05:33.7-05:00,displaysIn:Trove,Trove
tufts:12455,Vedic.,ArtBatchTransform: 2014-12-16T08:05:33.7-05:00,displaysIn:Trove,Trove
tufts:12447,Bharat Mata.,ArtBatchTransform: 2014-12-16T08:05:33.7-05:00,displaysIn:Trove,Trove
tufts:12452,Shwedagon Stupa (Pagoda).,ArtBatchTransform: 2014-12-16T08:05:33.7-05:00,displaysIn:Trove,Trove
