id,Tisch F4 Collection Name ,Notes
tufts:12427,Digitized Books & Manuscripts,
tufts:12362,Digitized Books & Manuscripts,Digitized by Boston Photo: 080461001_1
tufts:12363,Digitized Books & Manuscripts,Digitized by Boston Photo: 080461001_2
tufts:12364,Digitized Books & Manuscripts,Digitized by Boston Photo: 080461002_1
tufts:12366,Digitized Books & Manuscripts,Digitized by Boston Photo: 080461003_1
tufts:12367,Digitized Books & Manuscripts,Digitized by Boston Photo: 080461003_2
tufts:12368,Digitized Books & Manuscripts,Digitized by Boston Photo: 080461004_1
tufts:12369,Digitized Books & Manuscripts,Digitized by Boston Photo: 080461004_2
tufts:12370,Digitized Books & Manuscripts,Digitized by Boston Photo: 080461005_1
tufts:12371,Digitized Books & Manuscripts,Digitized by Boston Photo: 080461005_2
tufts:12372,Digitized Books & Manuscripts,Digitized by Boston Photo: 080461006_1
tufts:12373,Digitized Books & Manuscripts,Digitized by Boston Photo: 080461006_2
tufts:12374,Digitized Books & Manuscripts,Digitized by Boston Photo: 080461007_1
tufts:12375,Digitized Books & Manuscripts,Digitized by Boston Photo: 080461007_2
tufts:12376,Digitized Books & Manuscripts,Digitized by Boston Photo: 080461020_1
tufts:12377,Digitized Books & Manuscripts,Digitized by Boston Photo: 080461020_2
tufts:12378,Digitized Books & Manuscripts,Digitized by Boston Photo: 080461033_1
tufts:12379,Digitized Books & Manuscripts,Digitized by Boston Photo: 080461033_2
tufts:12382,Digitized Books & Manuscripts,
tufts:12407,Digitized Books & Manuscripts,
tufts:12410,Digitized Books & Manuscripts,
tufts:12411,Digitized Books & Manuscripts,
tufts:12412,Digitized Books & Manuscripts,
tufts:12416,Digitized Books & Manuscripts,
tufts:12423,Digitized Books & Manuscripts,
tufts:12424,Digitized Books & Manuscripts,
tufts:13753,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-05-01T14:42:16.917-04:00
tufts:13754,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-05-01T14:06:17.709-04:00
tufts:13755,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-05-01T14:06:17.709-04:00
tufts:13756,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-05-01T14:06:17.709-04:00
tufts:13757,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-05-01T14:06:17.709-04:00
tufts:13758,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-05-01T14:06:17.709-04:00
tufts:13759,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-05-01T14:06:17.709-04:00
tufts:13760,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-05-01T14:06:17.709-04:00
tufts:13761,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-05-01T14:06:17.709-04:00
tufts:13762,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-05-01T14:06:17.709-04:00
tufts:13763,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-05-01T14:06:17.709-04:00
tufts:13764,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-05-01T14:06:17.709-04:00
tufts:13765,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-05-01T14:06:17.709-04:00
tufts:13766,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-05-01T14:06:17.709-04:00
tufts:13767,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-05-01T14:06:17.709-04:00
tufts:13768,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-05-01T14:06:17.709-04:00
tufts:13769,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-05-01T14:06:17.709-04:00
tufts:13774,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-05-05T08:51:53.363-04:00
tufts:13775,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-05-05T08:51:53.363-04:00
tufts:13776,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-05-05T08:51:53.363-04:00
tufts:13777,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-05-05T08:51:53.363-04:00
tufts:13778,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-05-05T08:51:53.363-04:00
tufts:13779,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-05-05T08:51:53.363-04:00
tufts:13780,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-05-05T08:51:53.363-04:00
tufts:13781,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-05-05T08:51:53.363-04:00
tufts:13782,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-05-05T08:51:53.363-04:00
tufts:13783,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-05-05T08:51:53.363-04:00
tufts:13784,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-05-05T08:51:53.363-04:00
tufts:13785,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-05-05T08:51:53.363-04:00
tufts:13786,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-05-05T08:51:53.363-04:00
tufts:13787,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-05-05T08:51:53.363-04:00
tufts:13788,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-05-05T08:51:53.363-04:00
tufts:13789,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-05-06T09:34:33.487-04:00
tufts:13790,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-05-06T09:34:33.487-04:00
tufts:13791,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-05-06T09:34:33.487-04:00
tufts:13792,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-05-06T09:34:33.487-04:00
tufts:13793,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-05-06T09:34:33.487-04:00
tufts:13794,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-05-06T09:34:33.487-04:00
tufts:13795,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-05-06T09:34:33.487-04:00
tufts:13796,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-05-06T09:34:33.487-04:00
tufts:13797,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-05-06T09:34:33.487-04:00
tufts:13798,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-05-06T09:34:33.487-04:00
tufts:13799,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-05-06T09:34:33.487-04:00
tufts:13800,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-05-06T09:34:33.487-04:00
tufts:13801,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-05-06T09:34:33.487-04:00
tufts:13802,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-05-06T09:34:33.487-04:00
tufts:13803,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-05-06T09:34:33.487-04:00
tufts:13804,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-05-06T09:34:33.487-04:00
tufts:13805,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-05-06T11:20:59.524-04:00
tufts:13806,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-05-06T11:20:59.524-04:00
tufts:13807,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-05-06T11:20:59.524-04:00
tufts:13808,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-05-06T11:20:59.524-04:00
tufts:13809,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-05-06T11:20:59.524-04:00
tufts:13810,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-05-06T11:20:59.524-04:00
tufts:13827,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-05-19T13:23:57.253-04:00
tufts:13828,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-05-19T13:23:57.253-04:00
tufts:13829,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-05-19T13:23:57.253-04:00
tufts:13830,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-05-19T13:23:57.253-04:00
tufts:13831,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-05-19T13:23:57.253-04:00
tufts:13832,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-05-19T13:23:57.253-04:00
tufts:13833,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-05-19T13:23:57.253-04:00
tufts:13834,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-05-19T13:23:57.253-04:00
tufts:13835,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-05-19T13:23:57.253-04:00
tufts:13838,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-06-09T13:10:35.743-04:00
tufts:13839,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-06-09T13:10:35.743-04:00
tufts:13840,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-06-09T13:10:35.743-04:00
tufts:13841,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-06-09T13:10:35.743-04:00
tufts:13842,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-06-09T13:10:35.743-04:00
tufts:13843,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-06-09T13:10:35.743-04:00
tufts:13844,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-06-09T13:10:35.743-04:00
tufts:13845,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-06-09T13:10:35.743-04:00
tufts:13846,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-06-09T13:10:35.743-04:00
tufts:13847,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-06-09T13:10:35.743-04:00
tufts:13848,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-06-09T13:10:35.743-04:00
tufts:13849,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-06-09T13:10:35.743-04:00
tufts:13850,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-06-09T13:10:35.743-04:00
tufts:13851,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-06-09T13:10:35.743-04:00
tufts:13852,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-06-09T13:10:35.743-04:00
tufts:13853,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-06-09T13:10:35.743-04:00
tufts:13854,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-06-09T13:10:35.743-04:00
tufts:13855,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-06-09T13:10:35.743-04:00
tufts:13856,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-06-09T13:10:35.743-04:00
tufts:13857,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-06-09T13:10:35.743-04:00
tufts:13858,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-06-09T13:10:35.743-04:00
tufts:13859,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-06-09T13:10:35.743-04:00
tufts:13860,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-06-09T13:10:35.743-04:00
tufts:13861,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-06-11T09:48:15.029-04:00
tufts:13975,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-06-24T13:39:20.613-04:00
tufts:14096,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-07-30T09:02:38.594-04:00
tufts:14097,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-07-30T09:02:38.594-04:00
tufts:14098,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-07-30T09:02:38.594-04:00
tufts:14099,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-07-30T09:02:38.594-04:00
tufts:14100,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-07-30T09:02:38.594-04:00
tufts:14101,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-07-30T09:02:38.594-04:00
tufts:14102,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-07-30T09:02:38.594-04:00
tufts:14103,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-07-30T09:02:38.594-04:00
tufts:14104,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-07-30T09:02:38.594-04:00
tufts:14105,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-07-30T09:02:38.594-04:00
tufts:14106,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-07-30T09:02:38.594-04:00
tufts:14107,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-07-30T09:02:38.594-04:00
tufts:14108,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-07-30T10:42:39.026-04:00
tufts:14109,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-07-30T10:42:39.026-04:00
tufts:14110,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-07-30T10:42:39.026-04:00
tufts:14111,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-07-30T10:42:39.026-04:00
tufts:14112,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-07-30T10:42:39.026-04:00
tufts:14113,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-07-30T10:42:39.026-04:00
tufts:14114,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-07-30T10:42:39.026-04:00
tufts:14115,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-07-30T10:42:39.026-04:00
tufts:14116,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-07-30T10:42:39.026-04:00
tufts:14117,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-07-30T10:42:39.026-04:00
tufts:14118,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-07-30T10:42:39.026-04:00
tufts:14119,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-07-30T10:42:39.026-04:00
tufts:14120,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-07-30T10:42:39.026-04:00
tufts:14121,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-07-30T10:42:39.026-04:00
tufts:14122,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-07-30T10:42:39.026-04:00
tufts:14123,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-07-30T10:42:39.026-04:00
tufts:14124,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-07-30T10:42:39.026-04:00
tufts:14125,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-07-30T10:42:39.026-04:00
tufts:14126,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-07-30T10:42:39.026-04:00
tufts:14127,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-07-30T10:42:39.026-04:00
tufts:14203,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-08-13T08:03:49.674-04:00
tufts:14204,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-08-13T08:03:49.674-04:00
tufts:14205,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-08-13T08:03:49.674-04:00
tufts:14206,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-08-13T08:03:49.674-04:00
tufts:14207,Digitized Books & Manuscripts,InternetArchiveBatchTransform: 2015-08-13T08:03:49.674-04:00
